timestamp,fps,latency_ms,ram_usage_percent,cpu_usage_percent,temperature,num_detections
2026-04-05T18:16:18.788,8.75,96.35,78.8,83.6,0.0,6
2026-04-05T18:16:18.899,8.84,102.29,78.8,83.6,0.0,4
2026-04-05T18:16:19.011,8.92,103.16,78.8,83.6,0.0,8
2026-04-05T18:16:19.117,9.04,97.2,78.8,83.6,0.0,6
2026-04-05T18:16:19.226,9.13,100.29,78.9,79.7,0.0,6
2026-04-05T18:16:19.329,9.24,96.57,78.9,79.7,0.0,5
2026-04-05T18:16:19.432,9.34,96.0,78.9,79.7,0.0,4
2026-04-05T18:16:19.539,9.41,98.75,78.9,79.7,0.0,4
2026-04-05T18:16:19.649,9.46,101.44,78.8,80.3,0.0,5
2026-04-05T18:16:19.751,9.54,96.45,78.8,80.3,0.0,3
2026-04-05T18:16:19.857,9.6,98.24,78.8,80.3,0.0,6
2026-04-05T18:16:19.966,9.6,103.9,78.8,80.3,0.0,6
2026-04-05T18:16:20.073,9.66,97.62,78.8,80.3,0.0,5
2026-04-05T18:16:20.181,9.7,99.11,78.9,80.0,0.0,5
2026-04-05T18:16:20.285,9.75,98.06,78.9,80.0,0.0,4
2026-04-05T18:16:20.394,9.77,100.59,78.9,80.0,0.0,3
2026-04-05T18:16:20.501,9.81,98.68,78.9,80.0,0.0,3
2026-04-05T18:16:20.608,9.83,99.14,78.9,80.0,0.0,4
2026-04-05T18:16:20.716,9.86,99.29,78.8,80.0,0.0,3
2026-04-05T18:16:20.822,9.89,98.04,78.8,80.0,0.0,3
2026-04-05T18:16:20.936,9.85,105.23,78.8,80.0,0.0,3
2026-04-05T18:16:21.040,9.9,95.94,78.8,80.0,0.0,5
2026-04-05T18:16:21.145,9.95,96.74,78.8,80.0,0.0,4
2026-04-05T18:16:21.251,9.98,97.23,78.9,80.5,0.0,4
2026-04-05T18:16:21.356,10.01,97.05,78.9,80.5,0.0,4
2026-04-05T18:16:21.463,10.01,100.02,78.9,80.5,0.0,6
2026-04-05T18:16:21.569,9.99,101.36,78.9,80.5,0.0,4
2026-04-05T18:16:21.693,9.85,114.92,78.8,82.4,0.0,6
2026-04-05T18:16:21.797,9.87,99.28,78.8,82.4,0.0,6
2026-04-05T18:16:21.902,9.89,99.05,78.8,82.4,0.0,4
2026-04-05T18:16:22.011,9.89,101.71,78.8,82.4,0.0,5
2026-04-05T18:16:22.119,9.9,99.42,78.8,82.4,0.0,2
2026-04-05T18:16:22.230,9.89,102.34,78.9,79.7,0.0,2
2026-04-05T18:16:22.360,9.69,121.46,78.9,79.7,0.0,4
2026-04-05T18:16:22.473,9.67,105.75,78.9,79.7,0.0,3
2026-04-05T18:16:22.578,9.71,99.41,78.9,79.7,0.0,3
2026-04-05T18:16:22.686,9.71,102.57,78.9,87.1,0.0,2
2026-04-05T18:16:22.797,9.7,103.86,78.9,87.1,0.0,3
2026-04-05T18:16:22.904,9.71,101.97,78.9,87.1,0.0,2
2026-04-05T18:16:23.029,9.58,117.71,78.9,87.1,0.0,4
2026-04-05T18:16:23.155,9.46,117.71,78.9,87.1,0.0,3
2026-04-05T18:16:23.278,9.38,114.72,78.9,89.8,0.0,3
2026-04-05T18:16:23.405,9.27,118.88,78.9,89.8,0.0,3
2026-04-05T18:16:23.531,9.19,117.58,78.9,89.8,0.0,3
2026-04-05T18:16:23.653,9.15,113.74,78.9,89.8,0.0,3
2026-04-05T18:16:23.773,9.13,111.89,78.9,100.0,0.0,4
2026-04-05T18:16:23.878,9.24,96.39,78.9,100.0,0.0,3
2026-04-05T18:16:23.986,9.31,100.19,78.9,100.0,0.0,3
2026-04-05T18:16:24.092,9.36,101.37,78.9,100.0,0.0,2
2026-04-05T18:16:24.201,9.41,100.92,78.9,84.5,0.0,2
2026-04-05T18:16:24.305,9.51,95.67,78.9,84.5,0.0,3
2026-04-05T18:16:24.411,9.54,101.51,78.9,84.5,0.0,2
2026-04-05T18:16:24.523,9.55,104.08,78.9,84.5,0.0,2
2026-04-05T18:16:24.633,9.58,101.35,78.9,84.5,0.0,2
2026-04-05T18:16:24.745,9.55,106.87,78.9,80.2,0.0,2
2026-04-05T18:16:24.859,9.55,105.14,78.9,80.2,0.0,1
2026-04-05T18:16:24.973,9.51,108.92,78.9,80.2,0.0,1
2026-04-05T18:16:25.090,9.48,108.39,78.9,80.2,0.0,1
2026-04-05T18:16:25.206,9.46,107.73,78.9,78.8,0.0,1
2026-04-05T18:16:25.321,9.47,105.31,78.9,78.8,0.0,1
2026-04-05T18:16:25.436,9.46,106.42,78.9,78.8,0.0,0
2026-04-05T18:16:25.558,9.36,117.32,78.9,78.8,0.0,1
2026-04-05T18:16:25.750,8.73,182.93,78.9,86.7,0.0,1
2026-04-05T18:16:25.902,8.52,142.89,78.9,86.7,0.0,2
2026-04-05T18:16:26.023,8.55,113.73,78.9,86.7,0.0,1
2026-04-05T18:16:26.144,8.58,112.2,78.9,86.7,0.0,1
2026-04-05T18:16:26.258,8.63,109.88,78.9,87.5,0.0,2
2026-04-05T18:16:26.378,8.67,110.92,78.9,87.5,0.0,2
2026-04-05T18:16:26.502,8.68,114.31,78.9,87.5,0.0,2
2026-04-05T18:16:26.620,8.73,108.99,78.9,87.5,0.0,1
2026-04-05T18:16:26.742,8.74,112.95,78.9,81.2,0.0,1
2026-04-05T18:16:26.871,8.69,121.23,78.9,81.2,0.0,0
2026-04-05T18:16:26.995,8.68,115.65,78.9,81.2,0.0,1
2026-04-05T18:16:27.110,8.73,109.47,78.9,81.2,0.0,2
2026-04-05T18:16:27.230,8.72,115.81,79.0,82.0,0.0,2
2026-04-05T18:16:27.346,8.77,107.17,79.0,82.0,0.0,2
2026-04-05T18:16:27.466,8.77,114.63,79.0,82.0,0.0,0
2026-04-05T18:16:27.584,8.8,109.9,79.0,82.0,0.0,1
2026-04-05T18:16:27.700,8.85,107.74,79.0,82.0,0.0,1
2026-04-05T18:16:27.822,8.84,113.9,78.9,79.1,0.0,0
2026-04-05T18:16:27.942,8.86,110.97,78.9,79.1,0.0,0
2026-04-05T18:16:28.058,8.87,111.66,78.9,79.1,0.0,0
2026-04-05T18:16:28.177,8.89,110.14,78.9,79.1,0.0,0
2026-04-05T18:16:28.298,8.89,112.81,78.9,82.3,0.0,1
2026-04-05T18:16:28.561,7.9,253.44,78.9,82.3,0.0,1
2026-04-05T18:16:28.748,7.58,179.78,78.9,89.9,0.0,1
2026-04-05T18:16:28.936,7.32,178.12,78.9,89.9,0.0,0
2026-04-05T18:16:29.084,7.31,139.75,78.9,89.9,0.0,0
2026-04-05T18:16:29.220,7.36,126.68,78.9,89.9,0.0,0
2026-04-05T18:16:29.363,7.39,130.94,78.9,100.0,0.0,0
2026-04-05T18:16:29.480,7.53,109.88,78.9,100.0,0.0,0
